,geometry,AdmUnitId,infektionenGesamt,todeGesamt,infektionenNeu,todeNeu,infektionen7Tage,inzidenz7Tage,verwaltungseinheit
128,,4011,21075,357,121,0,789,139.0,SK Bremen
129,,4012,4075,96,27,0,156,137.3,SK Bremerhaven
130,,5111,22717,370,187,0,930,149.5,SK Düsseldorf
131,,5112,26467,603,156,3,957,191.9,SK Duisburg
132,,5113,23894,546,192,4,980,168.2,SK Essen
133,,5114,10319,154,80,1,457,201.0,SK Krefeld
134,,5116,9877,222,80,1,369,141.4,SK Mönchengladbach
135,,5117,7783,215,75,1,346,202.8,SK Mülheim a.d.Ruhr
136,,5119,10229,318,82,1,311,147.6,SK Oberhausen
137,,5120,5639,149,45,0,296,265.9,SK Remscheid
138,,5122,8453,176,33,1,245,153.9,SK Solingen
139,,5124,18224,436,96,0,784,220.8,SK Wuppertal
140,,5154,10160,171,86,0,421,134.7,LK Kleve
141,,5158,21445,688,134,2,953,196.3,LK Mettmann
142,,5162,16007,316,151,3,635,140.6,LK Rhein-Kreis Neuss
143,,5166,10656,284,58,1,386,129.2,LK Viersen
144,,5170,16142,264,114,0,610,132.6,LK Wesel
145,,5314,12832,227,85,1,555,168.3,SK Bonn
146,,5315,47782,637,293,2,2106,193.6,SK Köln
147,,5316,6800,89,38,0,384,234.5,SK Leverkusen
148,,5334,23889,532,178,3,898,161.2,StadtRegion Aachen
149,,5358,12663,264,93,0,533,201.4,LK Düren
150,,6534,9939,260,44,3,352,142.5,LK Marburg-Biedenkopf
151,,6535,3724,104,21,0,158,149.6,LK Vogelsbergkreis
152,,6611,7248,167,52,0,399,197.4,SK Kassel
153,,6631,12103,240,83,0,537,240.7,LK Fulda
154,,6632,5491,160,51,0,279,231.1,LK Hersfeld-Rotenburg
155,,6633,7269,198,50,0,366,154.6,LK Kassel
156,,6634,5855,222,67,0,229,127.5,LK Schwalm-Eder-Kreis
157,,6635,5495,135,36,1,191,122.1,LK Waldeck-Frankenberg
158,,6636,3225,140,24,0,161,160.0,LK Werra-Meißner-Kreis
159,,7111,4177,129,26,0,156,136.8,SK Koblenz
160,,7131,4066,48,33,0,168,129.1,LK Ahrweiler
161,,7132,4343,96,30,2,183,142.1,LK Altenkirchen
162,,7133,5366,130,50,0,240,151.6,LK Bad Kreuznach
163,,7134,2997,86,34,1,132,163.1,LK Birkenfeld
164,,7135,1811,52,4,0,23,37.5,LK Cochem-Zell
165,,7137,6647,153,46,1,305,142.2,LK Mayen-Koblenz
166,,7138,7501,116,65,0,288,157.5,LK Neuwied
167,,7140,3412,91,13,2,110,106.6,LK Rhein-Hunsrück-Kreis
168,,7141,3704,96,12,0,115,94.0,LK Rhein-Lahn-Kreis
169,,7143,6477,143,37,1,283,140.2,LK Westerwaldkreis
170,,7211,2484,24,5,0,82,73.5,SK Trier
171,,7231,2718,61,18,0,151,134.2,LK Bernkastel-Wittlich
172,,7232,3065,24,37,1,134,135.3,LK Bitburg-Prüm
173,,7233,1874,58,4,0,45,74.2,LK Vulkaneifel
174,,7235,4047,89,21,0,101,67.6,LK Trier-Saarburg
175,,7311,1969,51,15,0,72,147.7,SK Frankenthal
176,,7312,3152,107,25,0,157,157.0,SK Kaiserslautern
177,,7313,1486,34,22,0,65,138.6,SK Landau i.d.Pfalz
178,,7314,9408,317,58,0,331,192.2,SK Ludwigshafen
179,,7315,9017,190,65,0,355,162.4,SK Mainz
180,,7316,1541,37,5,0,37,69.5,SK Neustadt a.d.Weinstraße
181,,7317,1269,52,5,0,47,116.8,SK Pirmasens
182,,7318,2616,81,20,0,99,195.8,SK Speyer
183,,7319,3729,88,17,0,160,191.5,SK Worms
184,,7320,677,5,5,0,56,163.8,SK Zweibrücken
185,,7331,4572,114,18,0,153,118.0,LK Alzey-Worms
186,,7332,4085,148,16,0,129,97.2,LK Bad Dürkheim
187,,7333,2333,59,21,1,132,175.2,LK Donnersbergkreis
